Month,Sales,Trend,Seasonal,Residual,Z_Score,Is_Anomaly
2015-01-01,14205.707,36913.29118637056,-24053.894665160587,1346.3104787900302,0.42828699177143054,False
2015-02-01,4519.892,37400.14540846636,-32117.416344424026,-762.8370640423309,0.18268412331492231,False
2015-03-01,55205.797,37889.08702870766,16976.892827868553,339.8171434237811,0.3110843564753009,False
2015-04-01,27906.855,38379.84150986044,-9281.120756124548,-1191.8657537358886,0.13272523011327683,False
2015-05-01,23644.303,38872.25777352419,-15243.080425245167,15.125651720976748,0.27327516574484023,False
2015-06-01,34322.9356,39366.814092066954,-5198.26301305146,154.38452098450216,0.2894913749263001,False
2015-07-01,33781.543,39864.43281452483,-6136.243815226365,53.35400070153264,0.27772672353077515,False
2015-08-01,27117.5365,40366.46348832891,-13708.8200757472,459.89308741828427,0.32506678097561337,False
2015-09-01,81623.5268,40874.83974027697,40771.74486482454,-23.057805101503618,0.2688288354939974,False
2015-10-01,31453.393,41391.96475233778,-9934.98703869362,-3.58471364415891,0.2710964090148224,False
2015-11-01,77907.66070000001,41920.43468719832,36026.43425557376,-39.2082427720743,0.2669481734074591,False
2015-12-01,68167.0585,42458.82360648937,26713.053383138318,-1004.8184896276944,0.15450623104800656,False
2016-01-01,18066.9576,42973.900773360125,-20869.82491042054,-4037.1182629395844,-0.19859449197932186,False
2016-02-01,11951.411,43477.54518414986,-32981.24752195944,1455.1133378095838,0.44095670488006694,False
2016-03-01,32339.3184,43996.99655638526,10830.784340086264,-22488.462496471526,-2.347189115449001,True
2016-04-01,34154.4685,44548.335333052426,-12253.834196870237,1859.9673638178137,0.4881005428878427,False
2016-05-01,29959.5305,45114.72746406631,-15094.274210062607,-60.92275400370272,0.2644195943785794,False
2016-06-01,23599.374,45637.27541079649,-7715.787464389323,-14322.113946407164,-1.3962463350221561,False
2016-07-01,28608.259000000002,46111.403499261665,-9393.633582088067,-8109.510917173597,-0.6728104000887828,False
2016-08-01,36818.3422,46540.973344838734,-8828.990725790585,-893.640419048148,0.16745252925108442,False
2016-09-01,63133.606,46920.01079474466,35353.48538115146,-19139.890175896122,-1.9572595583811425,True
2016-10-01,31011.7375,47283.97182623758,-1699.6652297609542,-14572.569096476629,-1.4254109629239866,False
2016-11-01,75249.3995,47637.152474949246,42283.9613617736,-14671.71433672285,-1.4369560800406305,False
2016-12-01,74543.6012,47982.97139165128,24854.759404936925,1705.8704034118055,0.4701564897917181,False
2017-01-01,18542.490999999998,48360.8189934901,-17014.97407085761,-12803.353922632494,-1.219392032152847,False
2017-02-01,22978.815,48775.972674017525,-34354.54000162296,8557.382327605432,1.267991135150937,False
2017-03-01,51165.059,49224.56908101152,5416.818282274376,-3476.3283632858947,-0.13329246584822213,False
2017-04-01,38679.767,49692.84477360226,-16416.34280935873,5403.265035756478,0.9007051873475462,False
2017-05-01,56656.908,50186.75642938363,-14934.78663224012,21404.938202856487,2.764044166784543,True
2017-06-01,39724.486,50711.13217839617,-9924.263583123962,-1062.382595272211,0.14780309189850874,False
2017-07-01,38320.783,51274.71530500814,-12534.667904060578,-419.26440094756254,0.22269196054095153,False
2017-08-01,30542.2003,51873.4330038017,-3628.539356585518,-17702.693347216184,-1.7899030048484412,True
2017-09-01,69193.3909,52517.323849994704,29926.67009039974,-13250.603040394446,-1.2714726305966464,False
2017-10-01,59583.033,53231.40281176456,6577.904352550803,-226.27416431535676,0.2451649998795453,False
2017-11-01,79066.4958,54011.40403842753,48524.325766733455,-23469.23400516098,-2.461396533821957,True
2017-12-01,95739.121,54802.355902929834,22354.017557793304,18582.747539276854,2.43540991610736,True
2018-01-01,43476.474,55588.686776562485,-12383.356074003337,271.1432974408526,0.30308752684682566,False
2018-02-01,19920.9974,56375.798492055794,-36189.4576452934,-265.3434467623956,0.24061551832708622,False
2018-03-01,58863.4128,57155.21499604038,600.8395280169398,1107.358275942679,0.4004618419175232,False
2018-04-01,35541.9101,57929.04396358171,-21417.331301019538,-969.802562562174,0.15858371351630596,False
2018-05-01,43825.9822,58698.73064927216,-14811.988384297352,-60.76006497481285,0.2644385389480561,False
2018-06-01,48190.7277,59465.71100133576,-11786.02513222753,511.0418308917724,0.33102287359593574,False
2018-07-01,44825.104,60230.88899573755,-15566.421838426226,160.63684268867655,0.29021943596227484,False
2018-08-01,62837.848,60994.55533401955,1776.148637290773,67.1440286896759,0.279332524149842,False
2018-09-01,86152.888,61756.74322223606,24451.78687575154,-55.642097987591114,0.2650345083372053,False
2018-10-01,77448.1312,62517.40256608268,14878.949731854453,51.77890206286975,0.2775433087928768,False
2018-11-01,117938.155,63276.4773932544,54713.18956218512,-51.511955439520534,0.26551544901885066,False
2018-12-01,83030.3888,64033.89506328406,19289.007266357446,-292.5135296415028,0.23745165702492782,False
