Sub-Category,Total_Sales,Avg_Monthly_Sales,Volatility,Growth,Cluster,Segment
Accessories,164186.7,3420.55625,0.7463635226408151,0.5570123675456344,2,High Demand
Appliances,104618.40299999999,2179.5500625,0.8270268590331026,0.7252257640606832,1,Low Demand
Art,26705.41,556.3627083333333,0.5877957518474252,0.22746111653608486,1,Low Demand
Binders,200028.785,4167.266354166667,0.9137709659597745,0.5220172254390534,2,High Demand
Bookcases,113813.19870000001,2474.1999717391304,0.8876152509838223,-0.021102998459615194,1,Low Demand
Chairs,322822.731,6725.4735625,0.6484424645062471,0.1856486010064424,2,High Demand
Copiers,146248.094,4570.2529375,1.1846483514287125,1.8497281851264138,0,Medium Demand
Envelopes,16128.046,350.6096956521739,0.643805412154694,-0.10489885979197741,1,Low Demand
Fasteners,3001.9599999999996,63.87148936170212,0.7549676211995408,0.43784321934391757,1,Low Demand
Furnishings,89212.018,1858.5837083333333,0.724087079852763,0.6114240848389437,1,Low Demand
Labels,12347.725999999999,257.24429166666664,0.8596153474077096,0.1623337885467995,1,Low Demand
Machines,189238.631,4852.272589743589,1.1399293182517036,-0.4085921052902329,2,High Demand
Paper,76828.304,1600.5896666666667,0.6335749602725076,0.6494817269116328,1,Low Demand
Phones,327782.448,6828.8009999999995,0.5872597855860274,0.2590640701829304,2,High Demand
Storage,219343.392,4569.6539999999995,0.6111037891998616,0.3707997559834834,2,High Demand
Supplies,46420.30799999999,1055.0069999999998,1.8975698225567872,0.8563088059847714,0,Medium Demand
Tables,202810.628,4225.221416666666,0.7550661215801866,0.49905360683223593,2,High Demand
